StringID      Type      x         y         demand    ReadyTime DueDate   ServiceTime
D0            d         35.0      35.0      0.0       0.0       1000.0    0.0       
S0            f         35.0      35.0      0.0       0.0       1000.0    0.0       
S1            f         9.0       25.0      0.0       0.0       1000.0    0.0       
S2            f         70.0      33.0      0.0       0.0       1000.0    0.0       
S3            f         15.0      38.0      0.0       0.0       1000.0    0.0       
S4            f         47.0      63.0      0.0       0.0       1000.0    0.0       
S5            f         68.0      14.0      0.0       0.0       1000.0    0.0       
S6            f         55.0      21.0      0.0       0.0       1000.0    0.0       
S7            f         52.0      33.0      0.0       0.0       1000.0    0.0       
S8            f         28.0      62.0      0.0       0.0       1000.0    0.0       
S9            f         20.0      49.0      0.0       0.0       1000.0    0.0       
S10           f         54.0      1.0       0.0       0.0       1000.0    0.0       
S11           f         7.0       66.0      0.0       0.0       1000.0    0.0       
S12           f         37.0      9.0       0.0       0.0       1000.0    0.0       
S13           f         16.0      14.0      0.0       0.0       1000.0    0.0       
S14           f         68.0      47.0      0.0       0.0       1000.0    0.0       
S15           f         63.0      67.0      0.0       0.0       1000.0    0.0       
S16           f         47.0      10.0      0.0       0.0       1000.0    0.0       
S17           f         66.0      0.0       0.0       0.0       1000.0    0.0       
S18           f         18.0      66.0      0.0       0.0       1000.0    0.0       
S19           f         25.0      2.0       0.0       0.0       1000.0    0.0       
S20           f         51.0      44.0      0.0       0.0       1000.0    0.0       
C0            c         13.0      18.0      3.0       66.0      203.0     10.0      
C1            c         9.0       32.0      22.0      243.0     352.0     10.0      
C2            c         48.0      10.0      7.0       41.0      150.0     10.0      
C3            c         41.0      21.0      12.0      363.0     520.0     10.0      
C4            c         9.0       32.0      19.0      31.0      106.0     10.0      
C5            c         20.0      3.0       8.0       54.0      150.0     10.0      
C6            c         18.0      1.0       4.0       92.0      215.0     10.0      
C7            c         23.0      55.0      26.0      464.0     570.0     10.0      
C8            c         63.0      24.0      16.0      814.0     898.0     10.0      
C9            c         12.0      50.0      6.0       45.0      127.0     10.0      
C10           c         57.0      18.0      5.0       28.0      186.0     10.0      
C11           c         36.0      22.0      9.0       512.0     652.0     10.0      
C12           c         39.0      1.0       8.0       67.0      198.0     10.0      
C13           c         30.0      44.0      7.0       417.0     517.0     10.0      
C14           c         18.0      41.0      12.0      19.0      191.0     10.0      
C15           c         50.0      63.0      18.0      434.0     567.0     10.0      
C16           c         6.0       4.0       5.0       68.0      183.0     10.0      
C17           c         47.0      59.0      14.0      632.0     780.0     10.0      
C18           c         66.0      63.0      9.0       462.0     598.0     10.0      
C19           c         44.0      65.0      32.0      288.0     438.0     10.0      
C20           c         36.0      67.0      21.0      39.0      213.0     10.0      
C21           c         69.0      13.0      7.0       376.0     512.0     10.0      
C22           c         2.0       51.0      17.0      47.0      197.0     10.0      
C23           c         54.0      23.0      11.0      566.0     655.0     10.0      
C24           c         67.0      29.0      3.0       510.0     628.0     10.0      
C25           c         67.0      4.0       15.0      589.0     717.0     10.0      
C26           c         63.0      16.0      29.0      73.0      208.0     10.0      
C27           c         46.0      15.0      13.0      294.0     375.0     10.0      
C28           c         8.0       69.0      6.0       670.0     756.0     10.0      
C29           c         3.0       10.0      3.0       530.0     648.0     10.0      
C30           c         0.0       68.0      4.0       488.0     620.0     10.0      
C31           c         28.0      34.0      25.0      610.0     708.0     10.0      
C32           c         30.0      65.0      11.0      361.0     476.0     10.0      
C33           c         69.0      38.0      5.0       440.0     613.0     10.0      
C34           c         5.0       25.0      14.0      341.0     457.0     10.0      
C35           c         23.0      24.0      12.0      239.0     394.0     10.0      
C36           c         1.0       9.0       9.0       212.0     281.0     10.0      
C37           c         8.0       15.0      38.0      405.0     547.0     10.0      
C38           c         43.0      4.0       18.0      530.0     687.0     10.0      
C39           c         57.0      21.0      23.0      505.0     623.0     10.0      
C40           c         58.0      30.0      28.0      29.0      149.0     10.0      
C41           c         1.0       45.0      17.0      39.0      189.0     10.0      
C42           c         17.0      66.0      24.0      80.0      214.0     10.0      
C43           c         6.0       49.0      14.0      95.0      222.0     10.0      
C44           c         21.0      50.0      22.0      257.0     398.0     10.0      
C45           c         10.0      24.0      15.0      135.0     268.0     10.0      
C46           c         64.0      47.0      17.0      36.0      230.0     10.0      
C47           c         0.0       23.0      14.0      314.0     394.0     10.0      
C48           c         18.0      65.0      26.0      39.0      154.0     10.0      
C49           c         34.0      10.0      15.0      438.0     596.0     10.0      
C50           c         69.0      65.0      11.0      706.0     844.0     10.0      
C51           c         18.0      44.0      5.0       216.0     318.0     10.0      
C52           c         23.0      13.0      18.0      418.0     572.0     10.0      
C53           c         30.0      31.0      4.0       15.0      158.0     10.0      
C54           c         18.0      39.0      16.0      247.0     427.0     10.0      
C55           c         61.0      8.0       15.0      544.0     691.0     10.0      
C56           c         31.0      32.0      12.0      22.0      130.0     10.0      
C57           c         39.0      25.0      15.0      271.0     416.0     10.0      
C58           c         44.0      2.0       14.0      500.0     626.0     10.0      
C59           c         69.0      34.0      31.0      588.0     751.0     10.0      
C60           c         52.0      54.0      20.0      546.0     650.0     10.0      
C61           c         12.0      35.0      5.0       31.0      191.0     10.0      
C62           c         51.0      34.0      7.0       450.0     620.0     10.0      
C63           c         45.0      58.0      10.0      31.0      163.0     10.0      
C64           c         45.0      31.0      11.0      630.0     766.0     10.0      
C65           c         21.0      41.0      8.0       353.0     482.0     10.0      
C66           c         5.0       58.0      11.0      796.0     926.0     10.0      
C67           c         58.0      65.0      9.0       840.0     946.0     10.0      
C68           c         48.0      39.0      9.0       587.0     692.0     10.0      
C69           c         50.0      59.0      30.0      435.0     566.0     10.0      
C70           c         15.0      28.0      15.0      768.0     914.0     10.0      
C71           c         43.0      49.0      14.0      392.0     497.0     10.0      
C72           c         40.0      66.0      16.0      727.0     881.0     10.0      
C73           c         31.0      51.0      35.0      468.0     608.0     10.0      
C74           c         21.0      46.0      10.0      30.0      129.0     10.0      
C75           c         39.0      26.0      17.0      173.0     250.0     10.0      
C76           c         33.0      9.0       9.0       500.0     690.0     10.0      
C77           c         27.0      4.0       14.0      568.0     712.0     10.0      
C78           c         68.0      59.0      20.0      673.0     793.0     10.0      
C79           c         53.0      46.0      23.0      248.0     387.0     10.0      
C80           c         64.0      51.0      12.0      338.0     458.0     10.0      
C81           c         26.0      69.0      8.0       135.0     195.0     10.0      
C82           c         29.0      37.0      29.0      13.0      139.0     10.0      
C83           c         48.0      42.0      17.0      752.0     893.0     10.0      
C84           c         27.0      60.0      7.0       701.0     864.0     10.0      
C85           c         32.0      48.0      16.0      587.0     656.0     10.0      
C86           c         16.0      17.0      4.0       41.0      132.0     10.0      
C87           c         35.0      54.0      5.0       755.0     896.0     10.0      
C88           c         0.0       0.0       11.0      280.0     404.0     10.0      
C89           c         27.0      25.0      12.0      421.0     617.0     10.0      
C90           c         23.0      17.0      12.0      451.0     580.0     10.0      
C91           c         58.0      19.0      12.0      761.0     903.0     10.0      
C92           c         16.0      8.0       19.0      682.0     823.0     10.0      
C93           c         53.0      43.0      18.0      34.0      173.0     10.0      
C94           c         53.0      9.0       27.0      569.0     759.0     10.0      
C95           c         40.0      23.0      11.0      600.0     687.0     10.0      
C96           c         68.0      41.0      14.0      545.0     688.0     10.0      
C97           c         53.0      3.0       9.0       260.0     401.0     10.0      
C98           c         37.0      15.0      2.0       355.0     463.0     10.0      
C99           c         17.0      54.0      4.0       27.0      90.0      10.0      

Q Vehicle fuel tank capacity /187.7/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.2/
v average Velocity /1.0/
