StringID      Type      x         y         demand    ReadyTime DueDate   ServiceTime
D0            d         35.0      35.0      0.0       0.0       1000.0    0.0       
S0            f         35.0      35.0      0.0       0.0       1000.0    0.0       
S1            f         9.0       25.0      0.0       0.0       1000.0    0.0       
S2            f         70.0      33.0      0.0       0.0       1000.0    0.0       
S3            f         15.0      38.0      0.0       0.0       1000.0    0.0       
S4            f         47.0      63.0      0.0       0.0       1000.0    0.0       
S5            f         68.0      14.0      0.0       0.0       1000.0    0.0       
S6            f         55.0      21.0      0.0       0.0       1000.0    0.0       
S7            f         52.0      33.0      0.0       0.0       1000.0    0.0       
S8            f         28.0      62.0      0.0       0.0       1000.0    0.0       
S9            f         20.0      49.0      0.0       0.0       1000.0    0.0       
S10           f         54.0      1.0       0.0       0.0       1000.0    0.0       
S11           f         7.0       66.0      0.0       0.0       1000.0    0.0       
S12           f         37.0      9.0       0.0       0.0       1000.0    0.0       
S13           f         16.0      14.0      0.0       0.0       1000.0    0.0       
S14           f         68.0      47.0      0.0       0.0       1000.0    0.0       
S15           f         63.0      67.0      0.0       0.0       1000.0    0.0       
S16           f         47.0      10.0      0.0       0.0       1000.0    0.0       
S17           f         66.0      0.0       0.0       0.0       1000.0    0.0       
S18           f         18.0      66.0      0.0       0.0       1000.0    0.0       
S19           f         25.0      2.0       0.0       0.0       1000.0    0.0       
S20           f         51.0      44.0      0.0       0.0       1000.0    0.0       
C0            c         13.0      18.0      3.0       736.0     867.0     10.0      
C1            c         9.0       32.0      22.0      36.0      226.0     10.0      
C2            c         48.0      10.0      7.0       191.0     336.0     10.0      
C3            c         41.0      21.0      12.0      34.0      172.0     10.0      
C4            c         9.0       32.0      19.0      58.0      225.0     10.0      
C5            c         20.0      3.0       8.0       571.0     740.0     10.0      
C6            c         18.0      1.0       4.0       111.0     257.0     10.0      
C7            c         23.0      55.0      26.0      196.0     347.0     10.0      
C8            c         63.0      24.0      16.0      45.0      159.0     10.0      
C9            c         12.0      50.0      6.0       177.0     241.0     10.0      
C10           c         57.0      18.0      5.0       158.0     259.0     10.0      
C11           c         36.0      22.0      9.0       778.0     857.0     10.0      
C12           c         39.0      1.0       8.0       165.0     298.0     10.0      
C13           c         30.0      44.0      7.0       33.0      162.0     10.0      
C14           c         18.0      41.0      12.0      254.0     348.0     10.0      
C15           c         50.0      63.0      18.0      602.0     696.0     10.0      
C16           c         6.0       4.0       5.0       312.0     420.0     10.0      
C17           c         47.0      59.0      14.0      28.0      133.0     10.0      
C18           c         66.0      63.0      9.0       547.0     663.0     10.0      
C19           c         44.0      65.0      32.0      400.0     522.0     10.0      
C20           c         36.0      67.0      21.0      640.0     713.0     10.0      
C21           c         69.0      13.0      7.0       183.0     358.0     10.0      
C22           c         2.0       51.0      17.0      192.0     307.0     10.0      
C23           c         54.0      23.0      11.0      124.0     291.0     10.0      
C24           c         67.0      29.0      3.0       397.0     500.0     10.0      
C25           c         67.0      4.0       15.0      45.0      165.0     10.0      
C26           c         63.0      16.0      29.0      874.0     954.0     10.0      
C27           c         46.0      15.0      13.0      335.0     417.0     10.0      
C28           c         8.0       69.0      6.0       353.0     453.0     10.0      
C29           c         3.0       10.0      3.0       372.0     536.0     10.0      
C30           c         0.0       68.0      4.0       519.0     643.0     10.0      
C31           c         28.0      34.0      25.0      452.0     636.0     10.0      
C32           c         30.0      65.0      11.0      50.0      192.0     10.0      
C33           c         69.0      38.0      5.0       364.0     504.0     10.0      
C34           c         5.0       25.0      14.0      377.0     497.0     10.0      
C35           c         23.0      24.0      12.0      183.0     261.0     10.0      
C36           c         1.0       9.0       9.0       133.0     296.0     10.0      
C37           c         8.0       15.0      38.0      764.0     876.0     10.0      
C38           c         43.0      4.0       18.0      209.0     326.0     10.0      
C39           c         57.0      21.0      23.0      39.0      119.0     10.0      
C40           c         58.0      30.0      28.0      487.0     640.0     10.0      
C41           c         1.0       45.0      17.0      136.0     250.0     10.0      
C42           c         17.0      66.0      24.0      50.0      143.0     10.0      
C43           c         6.0       49.0      14.0      41.0      159.0     10.0      
C44           c         21.0      50.0      22.0      325.0     486.0     10.0      
C45           c         10.0      24.0      15.0      446.0     545.0     10.0      
C46           c         64.0      47.0      17.0      218.0     317.0     10.0      
C47           c         0.0       23.0      14.0      436.0     575.0     10.0      
C48           c         18.0      65.0      26.0      772.0     905.0     10.0      
C49           c         34.0      10.0      15.0      805.0     927.0     10.0      
C50           c         69.0      65.0      11.0      518.0     681.0     10.0      
C51           c         18.0      44.0      5.0       787.0     902.0     10.0      
C52           c         23.0      13.0      18.0      377.0     526.0     10.0      
C53           c         30.0      31.0      4.0       12.0      89.0      10.0      
C54           c         18.0      39.0      16.0      705.0     807.0     10.0      
C55           c         61.0      8.0       15.0      439.0     579.0     10.0      
C56           c         31.0      32.0      12.0      37.0      144.0     10.0      
C57           c         39.0      25.0      15.0      268.0     372.0     10.0      
C58           c         44.0      2.0       14.0      306.0     443.0     10.0      
C59           c         69.0      34.0      31.0      700.0     845.0     10.0      
C60           c         52.0      54.0      20.0      219.0     326.0     10.0      
C61           c         12.0      35.0      5.0       344.0     490.0     10.0      
C62           c         51.0      34.0      7.0       559.0     748.0     10.0      
C63           c         45.0      58.0      10.0      595.0     744.0     10.0      
C64           c         45.0      31.0      11.0      496.0     642.0     10.0      
C65           c         21.0      41.0      8.0       64.0      176.0     10.0      
C66           c         5.0       58.0      11.0      486.0     642.0     10.0      
C67           c         58.0      65.0      9.0       73.0      156.0     10.0      
C68           c         48.0      39.0      9.0       14.0      76.0      10.0      
C69           c         50.0      59.0      30.0      129.0     278.0     10.0      
C70           c         15.0      28.0      15.0      403.0     517.0     10.0      
C71           c         43.0      49.0      14.0      350.0     481.0     10.0      
C72           c         40.0      66.0      16.0      55.0      257.0     10.0      
C73           c         31.0      51.0      35.0      31.0      170.0     10.0      
C74           c         21.0      46.0      10.0      544.0     632.0     10.0      
C75           c         39.0      26.0      17.0      835.0     962.0     10.0      
C76           c         33.0      9.0       9.0       232.0     354.0     10.0      
C77           c         27.0      4.0       14.0      70.0      225.0     10.0      
C78           c         68.0      59.0      20.0      346.0     530.0     10.0      
C79           c         53.0      46.0      23.0      232.0     349.0     10.0      
C80           c         64.0      51.0      12.0      55.0      196.0     10.0      
C81           c         26.0      69.0      8.0       547.0     666.0     10.0      
C82           c         29.0      37.0      29.0      510.0     647.0     10.0      
C83           c         48.0      42.0      17.0      741.0     893.0     10.0      
C84           c         27.0      60.0      7.0       822.0     946.0     10.0      
C85           c         32.0      48.0      16.0      32.0      175.0     10.0      
C86           c         16.0      17.0      4.0       31.0      138.0     10.0      
C87           c         35.0      54.0      5.0       255.0     344.0     10.0      
C88           c         0.0       0.0       11.0      227.0     379.0     10.0      
C89           c         27.0      25.0      12.0      564.0     736.0     10.0      
C90           c         23.0      17.0      12.0      39.0      157.0     10.0      
C91           c         58.0      19.0      12.0      178.0     324.0     10.0      
C92           c         16.0      8.0       19.0      108.0     289.0     10.0      
C93           c         53.0      43.0      18.0      499.0     611.0     10.0      
C94           c         53.0      9.0       27.0      43.0      140.0     10.0      
C95           c         40.0      23.0      11.0      16.0      201.0     10.0      
C96           c         68.0      41.0      14.0      323.0     426.0     10.0      
C97           c         53.0      3.0       9.0       229.0     379.0     10.0      
C98           c         37.0      15.0      2.0       637.0     758.0     10.0      
C99           c         17.0      54.0      4.0       27.0      181.0     10.0      

Q Vehicle fuel tank capacity /187.7/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.2/
v average Velocity /1.0/
