StringID      Type      x         y         demand    ReadyTime DueDate   ServiceTime
D0            d         35.0      35.0      0.0       0.0       1000.0    0.0       
S0            f         35.0      35.0      0.0       0.0       1000.0    0.0       
S1            f         9.0       25.0      0.0       0.0       1000.0    0.0       
S2            f         70.0      33.0      0.0       0.0       1000.0    0.0       
S3            f         15.0      38.0      0.0       0.0       1000.0    0.0       
S4            f         47.0      63.0      0.0       0.0       1000.0    0.0       
S5            f         68.0      14.0      0.0       0.0       1000.0    0.0       
S6            f         55.0      21.0      0.0       0.0       1000.0    0.0       
S7            f         52.0      33.0      0.0       0.0       1000.0    0.0       
S8            f         28.0      62.0      0.0       0.0       1000.0    0.0       
S9            f         20.0      49.0      0.0       0.0       1000.0    0.0       
S10           f         54.0      1.0       0.0       0.0       1000.0    0.0       
S11           f         7.0       66.0      0.0       0.0       1000.0    0.0       
S12           f         37.0      9.0       0.0       0.0       1000.0    0.0       
S13           f         16.0      14.0      0.0       0.0       1000.0    0.0       
S14           f         68.0      47.0      0.0       0.0       1000.0    0.0       
S15           f         63.0      67.0      0.0       0.0       1000.0    0.0       
S16           f         47.0      10.0      0.0       0.0       1000.0    0.0       
S17           f         66.0      0.0       0.0       0.0       1000.0    0.0       
S18           f         18.0      66.0      0.0       0.0       1000.0    0.0       
S19           f         25.0      2.0       0.0       0.0       1000.0    0.0       
S20           f         51.0      44.0      0.0       0.0       1000.0    0.0       
C0            c         13.0      18.0      3.0       375.0     897.0     10.0      
C1            c         9.0       32.0      22.0      29.0      714.0     10.0      
C2            c         48.0      10.0      7.0       295.0     841.0     10.0      
C3            c         41.0      21.0      12.0      289.0     659.0     10.0      
C4            c         9.0       32.0      19.0      842.0     975.0     10.0      
C5            c         20.0      3.0       8.0       448.0     754.0     10.0      
C6            c         18.0      1.0       4.0       773.0     842.0     10.0      
C7            c         23.0      55.0      26.0      561.0     921.0     10.0      
C8            c         63.0      24.0      16.0      350.0     686.0     10.0      
C9            c         12.0      50.0      6.0       443.0     802.0     10.0      
C10           c         57.0      18.0      5.0       29.0      435.0     10.0      
C11           c         36.0      22.0      9.0       393.0     915.0     10.0      
C12           c         39.0      1.0       8.0       38.0      662.0     10.0      
C13           c         30.0      44.0      7.0       831.0     969.0     10.0      
C14           c         18.0      41.0      12.0      703.0     932.0     10.0      
C15           c         50.0      63.0      18.0      68.0      473.0     10.0      
C16           c         6.0       4.0       5.0       75.0      504.0     10.0      
C17           c         47.0      59.0      14.0      36.0      649.0     10.0      
C18           c         66.0      63.0      9.0       363.0     932.0     10.0      
C19           c         44.0      65.0      32.0      465.0     974.0     10.0      
C20           c         36.0      67.0      21.0      69.0      636.0     10.0      
C21           c         69.0      13.0      7.0       58.0      778.0     10.0      
C22           c         2.0       51.0      17.0      674.0     803.0     10.0      
C23           c         54.0      23.0      11.0      707.0     947.0     10.0      
C24           c         67.0      29.0      3.0       34.0      514.0     10.0      
C25           c         67.0      4.0       15.0      514.0     844.0     10.0      
C26           c         63.0      16.0      29.0      65.0      467.0     10.0      
C27           c         46.0      15.0      13.0      301.0     936.0     10.0      
C28           c         8.0       69.0      6.0       613.0     844.0     10.0      
C29           c         3.0       10.0      3.0       155.0     934.0     10.0      
C30           c         0.0       68.0      4.0       52.0      855.0     10.0      
C31           c         28.0      34.0      25.0      396.0     893.0     10.0      
C32           c         30.0      65.0      11.0      357.0     838.0     10.0      
C33           c         69.0      38.0      5.0       416.0     743.0     10.0      
C34           c         5.0       25.0      14.0      38.0      501.0     10.0      
C35           c         23.0      24.0      12.0      256.0     914.0     10.0      
C36           c         1.0       9.0       9.0       418.0     920.0     10.0      
C37           c         8.0       15.0      38.0      63.0      599.0     10.0      
C38           c         43.0      4.0       18.0      535.0     893.0     10.0      
C39           c         57.0      21.0      23.0      376.0     899.0     10.0      
C40           c         58.0      30.0      28.0      297.0     581.0     10.0      
C41           c         1.0       45.0      17.0      48.0      373.0     10.0      
C42           c         17.0      66.0      24.0      706.0     973.0     10.0      
C43           c         6.0       49.0      14.0      668.0     933.0     10.0      
C44           c         21.0      50.0      22.0      37.0      444.0     10.0      
C45           c         10.0      24.0      15.0      63.0      528.0     10.0      
C46           c         64.0      47.0      17.0      851.0     953.0     10.0      
C47           c         0.0       23.0      14.0      40.0      715.0     10.0      
C48           c         18.0      65.0      26.0      75.0      697.0     10.0      
C49           c         34.0      10.0      15.0      642.0     850.0     10.0      
C50           c         69.0      65.0      11.0      68.0      394.0     10.0      
C51           c         18.0      44.0      5.0       235.0     668.0     10.0      
C52           c         23.0      13.0      18.0      430.0     851.0     10.0      
C53           c         30.0      31.0      4.0       13.0      273.0     10.0      
C54           c         18.0      39.0      16.0      215.0     823.0     10.0      
C55           c         61.0      8.0       15.0      46.0      545.0     10.0      
C56           c         31.0      32.0      12.0      14.0      388.0     10.0      
C57           c         39.0      25.0      15.0      12.0      761.0     10.0      
C58           c         44.0      2.0       14.0      565.0     766.0     10.0      
C59           c         69.0      34.0      31.0      743.0     917.0     10.0      
C60           c         52.0      54.0      20.0      515.0     946.0     10.0      
C61           c         12.0      35.0      5.0       44.0      622.0     10.0      
C62           c         51.0      34.0      7.0       24.0      357.0     10.0      
C63           c         45.0      58.0      10.0      137.0     430.0     10.0      
C64           c         45.0      31.0      11.0      13.0      311.0     10.0      
C65           c         21.0      41.0      8.0       411.0     898.0     10.0      
C66           c         5.0       58.0      11.0      559.0     927.0     10.0      
C67           c         58.0      65.0      9.0       42.0      264.0     10.0      
C68           c         48.0      39.0      9.0       18.0      247.0     10.0      
C69           c         50.0      59.0      30.0      493.0     828.0     10.0      
C70           c         15.0      28.0      15.0      469.0     772.0     10.0      
C71           c         43.0      49.0      14.0      17.0      228.0     10.0      
C72           c         40.0      66.0      16.0      437.0     940.0     10.0      
C73           c         31.0      51.0      35.0      602.0     906.0     10.0      
C74           c         21.0      46.0      10.0      146.0     537.0     10.0      
C75           c         39.0      26.0      17.0      40.0      402.0     10.0      
C76           c         33.0      9.0       9.0       241.0     758.0     10.0      
C77           c         27.0      4.0       14.0      42.0      467.0     10.0      
C78           c         68.0      59.0      20.0      661.0     902.0     10.0      
C79           c         53.0      46.0      23.0      438.0     726.0     10.0      
C80           c         64.0      51.0      12.0      858.0     906.0     10.0      
C81           c         26.0      69.0      8.0       205.0     878.0     10.0      
C82           c         29.0      37.0      29.0      13.0      713.0     10.0      
C83           c         48.0      42.0      17.0      658.0     971.0     10.0      
C84           c         27.0      60.0      7.0       660.0     907.0     10.0      
C85           c         32.0      48.0      16.0      488.0     846.0     10.0      
C86           c         16.0      17.0      4.0       443.0     876.0     10.0      
C87           c         35.0      54.0      5.0       260.0     742.0     10.0      
C88           c         0.0       0.0       11.0      287.0     744.0     10.0      
C89           c         27.0      25.0      12.0      649.0     789.0     10.0      
C90           c         23.0      17.0      12.0      25.0      645.0     10.0      
C91           c         58.0      19.0      12.0      573.0     893.0     10.0      
C92           c         16.0      8.0       19.0      308.0     843.0     10.0      
C93           c         53.0      43.0      18.0      738.0     967.0     10.0      
C94           c         53.0      9.0       27.0      542.0     821.0     10.0      
C95           c         40.0      23.0      11.0      529.0     936.0     10.0      
C96           c         68.0      41.0      14.0      34.0      404.0     10.0      
C97           c         53.0      3.0       9.0       43.0      522.0     10.0      
C98           c         37.0      15.0      2.0       30.0      482.0     10.0      
C99           c         17.0      54.0      4.0       508.0     832.0     10.0      

Q Vehicle fuel tank capacity /187.7/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.2/
v average Velocity /1.0/
