StringID      Type      x         y         demand    ReadyTime DueDate   ServiceTime
D0            d         45.0      50.0      0.0       0.0       3400.0    0.0       
S0            f         45.0      50.0      0.0       0.0       3400.0    0.0       
S1            f         30.0      61.0      0.0       0.0       3400.0    0.0       
S2            f         76.0      35.0      0.0       0.0       3400.0    0.0       
S3            f         11.0      13.0      0.0       0.0       3400.0    0.0       
S4            f         81.0      92.0      0.0       0.0       3400.0    0.0       
S5            f         6.0       83.0      0.0       0.0       3400.0    0.0       
S6            f         71.0      48.0      0.0       0.0       3400.0    0.0       
S7            f         39.0      82.0      0.0       0.0       3400.0    0.0       
S8            f         22.0      45.0      0.0       0.0       3400.0    0.0       
S9            f         69.0      92.0      0.0       0.0       3400.0    0.0       
S10           f         2.0       37.0      0.0       0.0       3400.0    0.0       
S11           f         99.0      93.0      0.0       0.0       3400.0    0.0       
S12           f         12.0      23.0      0.0       0.0       3400.0    0.0       
S13           f         91.0      5.0       0.0       0.0       3400.0    0.0       
S14           f         7.0       72.0      0.0       0.0       3400.0    0.0       
S15           f         69.0      22.0      0.0       0.0       3400.0    0.0       
S16           f         61.0      61.0      0.0       0.0       3400.0    0.0       
S17           f         84.0      49.0      0.0       0.0       3400.0    0.0       
S18           f         29.0      2.0       0.0       0.0       3400.0    0.0       
S19           f         53.0      19.0      0.0       0.0       3400.0    0.0       
S20           f         83.0      69.0      0.0       0.0       3400.0    0.0       
C0            c         28.0      65.0      10.0      675.0     1130.0    90.0      
C1            c         35.0      61.0      10.0      26.0      527.0     90.0      
C2            c         23.0      64.0      20.0      1190.0    1706.0    90.0      
C3            c         29.0      61.0      20.0      1459.0    1991.0    90.0      
C4            c         36.0      55.0      10.0      1275.0    1849.0    90.0      
C5            c         37.0      63.0      10.0      1806.0    2330.0    90.0      
C6            c         35.0      56.0      10.0      22.0      526.0     90.0      
C7            c         29.0      59.0      10.0      1125.0    1720.0    90.0      
C8            c         35.0      57.0      20.0      1670.0    2197.0    90.0      
C9            c         31.0      57.0      30.0      2742.0    3252.0    90.0      
C10           c         32.0      63.0      20.0      823.0     1340.0    90.0      
C11           c         79.0      26.0      20.0      19.0      478.0     90.0      
C12           c         70.0      14.0      20.0      1140.0    1612.0    90.0      
C13           c         70.0      15.0      20.0      2255.0    2866.0    90.0      
C14           c         81.0      20.0      10.0      440.0     934.0     90.0      
C15           c         83.0      25.0      10.0      1177.0    1707.0    90.0      
C16           c         83.0      20.0      10.0      442.0     907.0     90.0      
C17           c         74.0      22.0      50.0      25.0      590.0     90.0      
C18           c         80.0      20.0      10.0      971.0     1473.0    90.0      
C19           c         82.0      21.0      10.0      1036.0    1605.0    90.0      
C20           c         78.0      26.0      30.0      813.0     1204.0    90.0      
C21           c         37.0      34.0      10.0      2202.0    2651.0    90.0      
C22           c         27.0      25.0      10.0      730.0     1232.0    90.0      
C23           c         28.0      27.0      10.0      2349.0    2854.0    90.0      
C24           c         25.0      24.0      10.0      2149.0    2706.0    90.0      
C25           c         28.0      32.0      30.0      2046.0    2615.0    90.0      
C26           c         28.0      30.0      10.0      13.0      489.0     90.0      
C27           c         36.0      30.0      10.0      900.0     1387.0    90.0      
C28           c         30.0      36.0      10.0      2380.0    2895.0    90.0      
C29           c         32.0      31.0      20.0      15.0      413.0     90.0      
C30           c         12.0      15.0      10.0      1666.0    2277.0    90.0      
C31           c         21.0      11.0      20.0      1382.0    1918.0    90.0      
C32           c         5.0       5.0       20.0      618.0     1156.0    90.0      
C33           c         15.0      18.0      10.0      465.0     1030.0    90.0      
C34           c         17.0      22.0      10.0      1978.0    2616.0    90.0      
C35           c         11.0      16.0      10.0      1012.0    1553.0    90.0      
C36           c         19.0      13.0      20.0      1418.0    1905.0    90.0      
C37           c         19.0      21.0      30.0      2113.0    2639.0    90.0      
C38           c         14.0      18.0      20.0      848.0     1310.0    90.0      
C39           c         17.0      20.0      10.0      2049.0    2567.0    90.0      
C40           c         52.0      73.0      10.0      25.0      517.0     90.0      
C41           c         39.0      63.0      10.0      14.0      549.0     90.0      
C42           c         62.0      78.0      20.0      27.0      622.0     90.0      
C43           c         50.0      79.0      20.0      24.0      566.0     90.0      
C44           c         56.0      66.0      30.0      2248.0    2817.0    90.0      
C45           c         52.0      63.0      10.0      2048.0    2540.0    90.0      
C46           c         55.0      66.0      40.0      14.0      628.0     90.0      
C47           c         54.0      70.0      20.0      1010.0    1496.0    90.0      
C48           c         49.0      65.0      40.0      2577.0    3163.0    90.0      
C49           c         17.0      76.0      10.0      2060.0    2577.0    90.0      
C50           c         5.0       71.0      10.0      487.0     998.0     90.0      
C51           c         1.0       89.0      10.0      1183.0    1701.0    90.0      
C52           c         8.0       82.0      20.0      2246.0    2709.0    90.0      
C53           c         17.0      84.0      10.0      1086.0    1563.0    90.0      
C54           c         16.0      81.0      10.0      1316.0    1941.0    90.0      
C55           c         11.0      79.0      20.0      1667.0    2105.0    90.0      
C56           c         14.0      80.0      30.0      1887.0    2389.0    90.0      
C57           c         9.0       81.0      10.0      1656.0    2212.0    90.0      
C58           c         8.0       77.0      10.0      1598.0    2168.0    90.0      
C59           c         14.0      79.0      30.0      1171.0    1596.0    90.0      
C60           c         57.0      37.0      40.0      2426.0    2978.0    90.0      
C61           c         59.0      27.0      20.0      29.0      562.0     90.0      
C62           c         49.0      26.0      10.0      932.0     1470.0    90.0      
C63           c         50.0      33.0      30.0      434.0     949.0     90.0      
C64           c         58.0      32.0      10.0      997.0     1573.0    90.0      
C65           c         50.0      39.0      20.0      2098.0    2580.0    90.0      
C66           c         49.0      38.0      10.0      2452.0    3142.0    90.0      
C67           c         53.0      38.0      10.0      1790.0    2280.0    90.0      
C68           c         58.0      38.0      40.0      1023.0    1567.0    90.0      
C69           c         52.0      35.0      20.0      683.0     1118.0    90.0      
C70           c         53.0      38.0      10.0      2092.0    2669.0    90.0      
C71           c         53.0      36.0      10.0      29.0      569.0     90.0      
C72           c         91.0      73.0      30.0      1983.0    2475.0    90.0      
C73           c         91.0      75.0      20.0      1147.0    1745.0    90.0      
C74           c         98.0      81.0      10.0      1516.0    2030.0    90.0      
C75           c         86.0      67.0      20.0      1732.0    2327.0    90.0      
C76           c         90.0      68.0      50.0      926.0     1534.0    90.0      
C77           c         86.0      68.0      10.0      998.0     1511.0    90.0      
C78           c         84.0      70.0      20.0      958.0     1445.0    90.0      
C79           c         89.0      68.0      30.0      1262.0    1915.0    90.0      
C80           c         90.0      72.0      10.0      883.0     1362.0    90.0      
C81           c         91.0      72.0      10.0      1801.0    2330.0    90.0      
C82           c         91.0      65.0      10.0      1414.0    1887.0    90.0      
C83           c         64.0      56.0      30.0      334.0     896.0     90.0      
C84           c         55.0      64.0      10.0      597.0     1118.0    90.0      
C85           c         72.0      68.0      40.0      10.0      528.0     90.0      
C86           c         63.0      65.0      10.0      1994.0    2541.0    90.0      
C87           c         65.0      59.0      40.0      2617.0    3148.0    90.0      
C88           c         69.0      53.0      10.0      641.0     1099.0    90.0      
C89           c         62.0      51.0      30.0      226.0     646.0     90.0      
C90           c         64.0      51.0      10.0      21.0      454.0     90.0      
C91           c         61.0      59.0      10.0      676.0     1204.0    90.0      
C92           c         68.0      87.0      30.0      2274.0    2795.0    90.0      
C93           c         60.0      81.0      20.0      488.0     1087.0    90.0      
C94           c         78.0      82.0      20.0      1285.0    1740.0    90.0      
C95           c         68.0      89.0      10.0      1816.0    2304.0    90.0      
C96           c         71.0      94.0      10.0      1737.0    2340.0    90.0      
C97           c         71.0      93.0      40.0      2341.0    2855.0    90.0      
C98           c         73.0      91.0      10.0      545.0     1194.0    90.0      
C99           c         73.0      85.0      20.0      896.0     1346.0    90.0      

Q Vehicle fuel tank capacity /135.7/
C Vehicle load capacity /700.0/
r fuel consumption rate /1.0/
g inverse refueling rate /2.0/
v average Velocity /1.0/
