StringID      Type      x         y         demand    ReadyTime DueDate   ServiceTime
D0            d         45.0      50.0      0.0       0.0       3400.0    0.0       
S0            f         45.0      50.0      0.0       0.0       3400.0    0.0       
S1            f         30.0      61.0      0.0       0.0       3400.0    0.0       
S2            f         76.0      35.0      0.0       0.0       3400.0    0.0       
S3            f         11.0      13.0      0.0       0.0       3400.0    0.0       
S4            f         81.0      92.0      0.0       0.0       3400.0    0.0       
S5            f         6.0       83.0      0.0       0.0       3400.0    0.0       
S6            f         71.0      48.0      0.0       0.0       3400.0    0.0       
S7            f         39.0      82.0      0.0       0.0       3400.0    0.0       
S8            f         22.0      45.0      0.0       0.0       3400.0    0.0       
S9            f         69.0      92.0      0.0       0.0       3400.0    0.0       
S10           f         2.0       37.0      0.0       0.0       3400.0    0.0       
S11           f         99.0      93.0      0.0       0.0       3400.0    0.0       
S12           f         12.0      23.0      0.0       0.0       3400.0    0.0       
S13           f         91.0      5.0       0.0       0.0       3400.0    0.0       
S14           f         7.0       72.0      0.0       0.0       3400.0    0.0       
S15           f         69.0      22.0      0.0       0.0       3400.0    0.0       
S16           f         61.0      61.0      0.0       0.0       3400.0    0.0       
S17           f         84.0      49.0      0.0       0.0       3400.0    0.0       
S18           f         29.0      2.0       0.0       0.0       3400.0    0.0       
S19           f         53.0      19.0      0.0       0.0       3400.0    0.0       
S20           f         83.0      69.0      0.0       0.0       3400.0    0.0       
C0            c         28.0      65.0      10.0      991.0     1151.0    90.0      
C1            c         35.0      61.0      10.0      1794.0    1954.0    90.0      
C2            c         23.0      64.0      20.0      2076.0    2236.0    90.0      
C3            c         29.0      61.0      20.0      561.0     721.0     90.0      
C4            c         36.0      55.0      10.0      34.0      194.0     90.0      
C5            c         37.0      63.0      10.0      1769.0    1929.0    90.0      
C6            c         35.0      56.0      10.0      263.0     423.0     90.0      
C7            c         29.0      59.0      10.0      1284.0    1444.0    90.0      
C8            c         35.0      57.0      20.0      261.0     421.0     90.0      
C9            c         31.0      57.0      30.0      1636.0    1796.0    90.0      
C10           c         32.0      63.0      20.0      961.0     1121.0    90.0      
C11           c         79.0      26.0      20.0      1869.0    2029.0    90.0      
C12           c         70.0      14.0      20.0      1176.0    1336.0    90.0      
C13           c         70.0      15.0      20.0      2356.0    2516.0    90.0      
C14           c         81.0      20.0      10.0      2002.0    2162.0    90.0      
C15           c         83.0      25.0      10.0      1053.0    1213.0    90.0      
C16           c         83.0      20.0      10.0      1159.0    1319.0    90.0      
C17           c         74.0      22.0      50.0      928.0     1088.0    90.0      
C18           c         80.0      20.0      10.0      1045.0    1205.0    90.0      
C19           c         82.0      21.0      10.0      930.0     1090.0    90.0      
C20           c         78.0      26.0      30.0      996.0     1156.0    90.0      
C21           c         37.0      34.0      10.0      1633.0    1793.0    90.0      
C22           c         27.0      25.0      10.0      811.0     971.0     90.0      
C23           c         28.0      27.0      10.0      503.0     663.0     90.0      
C24           c         25.0      24.0      10.0      2017.0    2177.0    90.0      
C25           c         28.0      32.0      30.0      686.0     846.0     90.0      
C26           c         28.0      30.0      10.0      2380.0    2540.0    90.0      
C27           c         36.0      30.0      10.0      1084.0    1244.0    90.0      
C28           c         30.0      36.0      10.0      1941.0    2101.0    90.0      
C29           c         32.0      31.0      20.0      575.0     735.0     90.0      
C30           c         12.0      15.0      10.0      1338.0    1498.0    90.0      
C31           c         21.0      11.0      20.0      1669.0    1829.0    90.0      
C32           c         5.0       5.0       20.0      2214.0    2374.0    90.0      
C33           c         15.0      18.0      10.0      1271.0    1431.0    90.0      
C34           c         17.0      22.0      10.0      780.0     940.0     90.0      
C35           c         11.0      16.0      10.0      817.0     977.0     90.0      
C36           c         19.0      13.0      20.0      1506.0    1666.0    90.0      
C37           c         19.0      21.0      30.0      2546.0    2706.0    90.0      
C38           c         14.0      18.0      20.0      2421.0    2581.0    90.0      
C39           c         17.0      20.0      10.0      1006.0    1166.0    90.0      
C40           c         52.0      73.0      10.0      2639.0    2799.0    90.0      
C41           c         39.0      63.0      10.0      139.0     299.0     90.0      
C42           c         62.0      78.0      20.0      1440.0    1600.0    90.0      
C43           c         50.0      79.0      20.0      1325.0    1485.0    90.0      
C44           c         56.0      66.0      30.0      1161.0    1321.0    90.0      
C45           c         52.0      63.0      10.0      1101.0    1261.0    90.0      
C46           c         55.0      66.0      40.0      1225.0    1385.0    90.0      
C47           c         54.0      70.0      20.0      1126.0    1286.0    90.0      
C48           c         49.0      65.0      40.0      225.0     385.0     90.0      
C49           c         17.0      76.0      10.0      2295.0    2455.0    90.0      
C50           c         5.0       71.0      10.0      1225.0    1385.0    90.0      
C51           c         1.0       89.0      10.0      2481.0    2641.0    90.0      
C52           c         8.0       82.0      20.0      544.0     704.0     90.0      
C53           c         17.0      84.0      10.0      777.0     937.0     90.0      
C54           c         16.0      81.0      10.0      2539.0    2699.0    90.0      
C55           c         11.0      79.0      20.0      875.0     1035.0    90.0      
C56           c         14.0      80.0      30.0      729.0     889.0     90.0      
C57           c         9.0       81.0      10.0      558.0     718.0     90.0      
C58           c         8.0       77.0      10.0      582.0     742.0     90.0      
C59           c         14.0      79.0      30.0      2212.0    2372.0    90.0      
C60           c         57.0      37.0      40.0      624.0     784.0     90.0      
C61           c         59.0      27.0      20.0      2206.0    2366.0    90.0      
C62           c         49.0      26.0      10.0      676.0     836.0     90.0      
C63           c         50.0      33.0      30.0      334.0     494.0     90.0      
C64           c         58.0      32.0      10.0      2115.0    2275.0    90.0      
C65           c         50.0      39.0      20.0      1257.0    1417.0    90.0      
C66           c         49.0      38.0      10.0      2010.0    2170.0    90.0      
C67           c         53.0      38.0      10.0      272.0     432.0     90.0      
C68           c         58.0      38.0      40.0      726.0     886.0     90.0      
C69           c         52.0      35.0      20.0      452.0     612.0     90.0      
C70           c         53.0      38.0      10.0      718.0     878.0     90.0      
C71           c         53.0      36.0      10.0      506.0     666.0     90.0      
C72           c         91.0      73.0      30.0      490.0     650.0     90.0      
C73           c         91.0      75.0      20.0      817.0     977.0     90.0      
C74           c         98.0      81.0      10.0      1270.0    1430.0    90.0      
C75           c         86.0      67.0      20.0      857.0     1017.0    90.0      
C76           c         90.0      68.0      50.0      1520.0    1680.0    90.0      
C77           c         86.0      68.0      10.0      1850.0    2010.0    90.0      
C78           c         84.0      70.0      20.0      1518.0    1678.0    90.0      
C79           c         89.0      68.0      30.0      721.0     881.0     90.0      
C80           c         90.0      72.0      10.0      2085.0    2245.0    90.0      
C81           c         91.0      72.0      10.0      624.0     784.0     90.0      
C82           c         91.0      65.0      10.0      1380.0    1540.0    90.0      
C83           c         64.0      56.0      30.0      2047.0    2207.0    90.0      
C84           c         55.0      64.0      10.0      162.0     322.0     90.0      
C85           c         72.0      68.0      40.0      560.0     720.0     90.0      
C86           c         63.0      65.0      10.0      981.0     1141.0    90.0      
C87           c         65.0      59.0      40.0      1343.0    1503.0    90.0      
C88           c         69.0      53.0      10.0      1388.0    1548.0    90.0      
C89           c         62.0      51.0      30.0      77.0      237.0     90.0      
C90           c         64.0      51.0      10.0      514.0     674.0     90.0      
C91           c         61.0      59.0      10.0      116.0     276.0     90.0      
C92           c         68.0      87.0      30.0      1906.0    2066.0    90.0      
C93           c         60.0      81.0      20.0      702.0     862.0     90.0      
C94           c         78.0      82.0      20.0      815.0     975.0     90.0      
C95           c         68.0      89.0      10.0      928.0     1088.0    90.0      
C96           c         71.0      94.0      10.0      574.0     734.0     90.0      
C97           c         71.0      93.0      40.0      785.0     945.0     90.0      
C98           c         73.0      91.0      10.0      1339.0    1499.0    90.0      
C99           c         73.0      85.0      20.0      1858.0    2018.0    90.0      

Q Vehicle fuel tank capacity /135.7/
C Vehicle load capacity /700.0/
r fuel consumption rate /1.0/
g inverse refueling rate /2.0/
v average Velocity /1.0/
