StringID      Type      x         y         demand    ReadyTime DueDate   ServiceTime
D0            d         45.0      50.0      0.0       0.0       240.0     0.0       
S0            f         45.0      50.0      0.0       0.0       240.0     0.0       
S1            f         30.0      61.0      0.0       0.0       240.0     0.0       
S2            f         76.0      35.0      0.0       0.0       240.0     0.0       
S3            f         11.0      13.0      0.0       0.0       240.0     0.0       
S4            f         81.0      92.0      0.0       0.0       240.0     0.0       
S5            f         6.0       83.0      0.0       0.0       240.0     0.0       
S6            f         71.0      48.0      0.0       0.0       240.0     0.0       
S7            f         39.0      82.0      0.0       0.0       240.0     0.0       
S8            f         22.0      45.0      0.0       0.0       240.0     0.0       
S9            f         69.0      92.0      0.0       0.0       240.0     0.0       
S10           f         2.0       37.0      0.0       0.0       240.0     0.0       
S11           f         99.0      93.0      0.0       0.0       240.0     0.0       
S12           f         12.0      23.0      0.0       0.0       240.0     0.0       
S13           f         91.0      5.0       0.0       0.0       240.0     0.0       
S14           f         7.0       72.0      0.0       0.0       240.0     0.0       
S15           f         69.0      22.0      0.0       0.0       240.0     0.0       
S16           f         61.0      61.0      0.0       0.0       240.0     0.0       
S17           f         84.0      49.0      0.0       0.0       240.0     0.0       
S18           f         29.0      2.0       0.0       0.0       240.0     0.0       
S19           f         53.0      19.0      0.0       0.0       240.0     0.0       
S20           f         83.0      69.0      0.0       0.0       240.0     0.0       
C0            c         74.0      20.0      20.0      88.0      118.0     10.0      
C1            c         77.0      21.0      20.0      94.0      124.0     10.0      
C2            c         81.0      20.0      10.0      56.0      86.0      10.0      
C3            c         83.0      25.0      10.0      75.0      105.0     10.0      
C4            c         83.0      20.0      10.0      111.0     141.0     10.0      
C5            c         74.0      22.0      50.0      182.0     212.0     10.0      
C6            c         80.0      20.0      10.0      76.0      106.0     10.0      
C7            c         82.0      21.0      10.0      165.0     195.0     10.0      
C8            c         78.0      26.0      30.0      115.0     145.0     10.0      
C9            c         37.0      34.0      10.0      64.0      94.0      10.0      
C10           c         11.0      77.0      10.0      184.0     214.0     10.0      
C11           c         9.0       81.0      10.0      123.0     153.0     10.0      
C12           c         8.0       82.0      20.0      95.0      125.0     10.0      
C13           c         17.0      84.0      10.0      0.0       192.0     10.0      
C14           c         16.0      81.0      10.0      175.0     205.0     10.0      
C15           c         11.0      79.0      20.0      45.0      75.0      10.0      
C16           c         14.0      80.0      30.0      0.0       196.0     10.0      
C17           c         9.0       81.0      10.0      52.0      82.0      10.0      
C18           c         8.0       77.0      10.0      0.0       184.0     10.0      
C19           c         14.0      79.0      30.0      0.0       198.0     10.0      
C20           c         57.0      37.0      40.0      172.0     202.0     10.0      
C21           c         16.0      13.0      20.0      49.0      79.0      10.0      
C22           c         9.0       12.0      20.0      0.0       162.0     10.0      
C23           c         15.0      18.0      10.0      128.0     158.0     10.0      
